global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	cosine03	cosine04	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15	motion_outlier16	motion_outlier17	motion_outlier18	motion_outlier19	motion_outlier20
773.1047992451712	n/a	n/a	597691.0306159165	827.3364220477165	n/a	n/a	684485.5552467173	804.7427766761001	n/a	647610.9366123595	n/a	819.0294068697629	716.6869841415065	n/a	n/a	n/a	n/a	-0.0097681906	0.0054111085	-0.0080843068	0.1045284395	-0.0516831276	0.0064212409	-0.0488319254	-0.0073917849	0.0106025424	0.0213434077	0.0845145967	-0.1020786286	0.0068809945	-0.0110876735	0.0480464847	0.0406002682	-0.0228369871	0.0293378557	-0.0133129352	0.0029111048	-0.0921422004	0.0252902097	-0.0348357958	0.0415023862	-0.0176981304	0.2502852262	-0.0053127186	0.0342358235	-0.0953180079	0.0079812197	-0.1334150437	0.0092188243	-0.0611245977	0.0194532213	-0.0691202567	0.0401009302	-0.0783335283	0.0322803486	-0.0360454025	0.0505146497	0.0056012401	-0.0334907785	0.0064249986	-0.0842210429	0.0366294141	-0.0273485765	0.0783022709	-0.0110973773	0.010986861	-0.034354502	0.0122362765	-0.0003089695	0.0264792555	-0.057299336	0.1025813125	-0.1243952677	0.1374385627	0.0489606981	-0.1628904874	0.0543764342	-0.0543469022	0.0645149142	-0.0160283044	0.0823563224	-0.1250988904	0.0041834026	-0.0736315856	0.0506030023	-0.0559504394	0.0175076055	-0.0122302513	0.0250017853	-0.1184378116	0.1096080613	-0.0189885105	0.120468223	-0.0231270084	0.0575521076	-0.0529127007	-0.0817564778	0.0182393823	-0.0092050437	0.0463934666	-0.229165465	0.0778663786	-0.1125187403	0.0449064151	-0.105846568	0.0498319351	-0.1130008409	0.0937403348	-0.0426286783	-0.0453921833	0.0417903326	-0.0156608659	0.0033039179	-0.0048321429	0.0196112854	0.0894409536	0.0894356571	0.0894268298	0.0894144721	0.0893985845	-0.0260196332151565	n/a	n/a	0.0006770213126512	0.0244557156490685	n/a	0.000598082027908	n/a	-0.0402081137094256	n/a	0.00161669240807	n/a	-0.0016190035014893	n/a	2.6211723378346137e-06	n/a	-1.0697176477947323e-10	n/a	n/a	1.144295846003495e-20	-6.797150722045314e-11	n/a	4.6201257938201136e-21	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
774.7866716927678	1.681872447596561	2.828694929984447	600294.3866327567	828.5433376122874	1.2069155645708634	1.456645180003406	686484.0623017089	804.5099533125541	-0.2328233635460037	647236.264978968	0.0542067186128746	819.503624256506	711.1087994140254	0.922212	15.027424	0.1153958075333489	0.0839999900757957	-0.0164183395	0.0133748501	0.0503582887	0.0890433259	0.0057817468	0.0232864084	-0.0402272497	-0.0062078264	-0.0130051486	-0.0358841165	0.1462661169	-0.1433597703	0.0128340501	-0.00206913	0.0610489869	0.099739497	-0.0559881958	0.0208637028	-0.0739971687	-0.0351030106	-0.0529046951	0.0150896641	0.0275013764	0.0136770098	-0.0251326139	0.2551439734	0.0261862468	0.0830176489	-0.0465810537	-0.0198136166	-0.0157402045	0.088263324	-0.058599512	-0.0169466688	0.0289256225	0.0037591555	0.0242000333	0.1615148076	-0.0473569555	0.0076413457	0.043485409	-0.1771201769	-0.0140293377	-0.1217419789	0.0391869216	0.013211245	0.0915459373	-0.0406616051	0.0753384282	-0.0718682661	0.0093264706	0.0290623375	0.0632946547	-0.0387662433	0.0394283919	-0.0945404758	0.1484586476	0.032822991	-0.1066509685	-0.0518916767	-0.0102136014	0.1393651317	0.0231523097	0.0745245974	0.0482159949	0.0975880407	-0.1735422747	0.0741459662	-0.036094252	0.0891597323	-0.130661862	-0.0182787865	-0.0458254781	0.0675200469	-0.0434374186	0.1734661538	-0.0209779312	0.0471174097	-0.0922455241	-0.0306519237	-0.0512240251	-0.0287679799	-0.0325984859	-0.1112202888	0.0445746728	-0.2041252769	0.0232881748	-0.1212548734	0.0096956415	-0.1092849511	0.1749715797	0.0696555531	-0.0764781142	0.0180100588	-0.0280917922	0.0235793332	0.0285571306	0.0289630975	0.0894268298	0.0893791676	0.0892997494	0.0891886034	0.0890457691	-0.0260306444709641	-1.1011255807599069e-05	1.2124775446038423e-10	0.0006775944515737	0.0429280024994511	0.0184722868503826	0.0018428133985928	0.0003412253814828	-0.1141702362986905	-0.0739621225892649	0.0130348428564988	0.0054703955779094	-0.0011599962012515	0.0004590073002377	1.3455911869179104e-06	2.1068770167159378e-07	1.7055223899831162e-10	2.7752400377778486e-10	7.701957267285194e-20	2.908806622733721e-20	9.102456581446676e-11	1.5899607303491992e-10	8.28547158171219e-21	2.5279751240525588e-20	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
775.4027682040456	0.616096511277874	0.3795749112087675	601249.452938497	833.8206216798607	5.277284067573305	27.849727129863048	695256.8291385893	804.9562859715943	0.4463326590401948	647954.6223251831	0.1992128425258908	820.3158754102227	714.8225173408555	0.9023580000000002	14.703905	0.0851855841437998	0.0608225083116139	-0.0777582032	0.0020931838	0.0803422308	0.0346201339	0.0862469869	0.0437486263	0.0339141635	-0.0197132163	-0.1101264161	-0.0422902071	0.0611850744	-0.0826285126	0.033744785	-0.0271566899	0.0442914848	0.0351553106	-0.0487965266	0.0552743309	-0.0348948681	-0.0875734521	-0.093994438	-0.0197097794	0.0008290309	0.0986442373	-0.0567321625	0.1808171252	-0.020492781	-0.0117482711	0.0040423363	0.0458943525	0.009751878	-0.0579414355	-0.0777229922	0.0241111937	0.1083944655	-0.1604025808	-0.010565573	0.1317251454	-0.1725074754	0.0030228842	-0.0046327471	-0.1085223642	0.0045207931	-0.0655632316	-0.0184172601	-0.0395290276	0.097914326	-0.0336991813	0.0044842014	-0.0499315779	-0.0735049065	0.0105887127	0.0696788646	0.014146864	0.0435418681	-0.1337899933	0.0879852859	0.0422841519	-0.0841901405	-0.0091288841	0.060999222	0.0109162093	0.096680748	-0.0082231279	-0.0215436836	0.059306667	-0.1138972183	0.1156926778	-0.1355535976	-0.1541487489	-0.13087413	0.0810035536	-0.0653588201	0.1022227617	-0.0295854112	0.1329022261	-0.0142656632	0.0537629288	-0.0862375766	-0.0560513994	-0.0706884939	-0.0239637914	-0.0002907604	-0.1079578895	0.1297355221	-0.0891181419	0.0322498829	-0.1047183699	-0.0288794532	-0.0946892115	0.1558947283	0.0237702423	-0.0450072214	0.0556541502	0.021088834	-0.0204759565	-0.0449915857	0.0070444168	0.0893985845	0.0892662243	0.0890457691	0.0887374365	0.0883415308	-0.0260740917498338	-4.344727886970018e-05	1.8876660411814957e-09	0.0006798582605787	0.0428919008998178	-3.610159963329807e-05	0.0018397151627997	1.3033254960829471e-09	-0.0654611670433809	0.0487090692553096	0.0042851643906814	0.0023725734277185	-0.0017029960809081	-0.0005429998796565	2.900195651588348e-06	2.94848869307082e-07	-0.0001280483775583	-0.0001280485481105	1.6396430673217017e-08	1.6396386995312944e-08	5.6890983457171256e-05	5.689089243260544e-05	3.236583998724133e-09	3.236573641778283e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
775.8631085159477	0.4603403119020868	0.2119132027621105	601963.5631560292	826.9361236788702	-6.884498000990448	47.396312725641465	683823.3526450357	806.0607690838962	1.104483112301864	649733.9634561222	1.2198829453600115	821.2215915256077	717.0785079863202	0.845304	13.774198	0.0975904315974877	0.0496485491255075	-0.0125428234	-0.0577171102	0.02275674	0.0038976651	0.0962866201	0.0093085834	0.0117343715	-0.0395981594	-0.0796231234	-0.0908060592	-0.0308882049	-0.0799334159	0.0356097876	-0.0342847898	0.0447591391	0.0487675816	-0.0471574905	0.0038504509	0.0203841649	-0.055888748	-0.008557831	-0.0192048866	-0.0113615855	0.0797818758	0.0359695299	0.1912725532	0.1676915439	0.010378727	-0.0659215685	-0.0026735451	-0.0442504996	0.0976471351	-0.023907943	-0.0660238367	0.1222811114	-0.1077522999	-0.0282057062	0.0864168585	0.0822037123	-0.0175797465	0.0899491318	0.0414209053	0.0569161625	-0.08151311	-0.0499067507	-0.0079613941	0.0175876193	-0.0558362803	0.0566306081	-0.0133115485	-0.0580590352	0.0437701456	-0.0150468942	-0.0175978511	0.0670746061	-0.107028342	0.087354277	0.0563307405	-0.0353529066	0.0479466101	-0.0703272587	0.1492754083	0.0934372476	0.0978736311	0.054305754	-0.037210825	-0.130084383	0.0986184874	-0.0087986231	-0.0363411772	-0.0916686644	0.0027239636	-0.0841606438	-0.0200136491	-0.032870028	0.129171141	-0.0185062186	0.0298574512	-0.072758141	-0.0675273648	-0.0398949114	-0.0971378203	-0.0333792818	-0.0772634371	0.0966419524	-0.1032189127	0.002476075	-0.0826992648	-0.0338412861	-0.0783692841	0.1346203536	0.0637515732	-0.1056576458	0.0999933222	0.0515406555	0.0427358096	-0.0360031515	0.001152442	0.0893562221	0.0890968986	0.08866525	0.0880621112	0.0872886488	-0.0077420792478619	0.0183320125019719	0.0003360626823724	5.9939791080173885e-05	0.0174352529794532	-0.0254566479203646	0.0003039880464575	0.0006480409233414	-0.0644114697773403	0.0010496972660405	0.0041488374388772	1.1018643503330987e-06	-0.0009910021815125	0.0007119938993955	9.82085323762534e-07	5.069353127765515e-07	-0.0004139997821996	-0.0002859514046412	8.176820581633246e-08	1.7139581966131622e-07	-2.0519068814081698e-07	-5.709617414531207e-05	4.2103218499702015e-14	3.259973102031803e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
775.7992056839295	-0.0639028320182433	0.0040835719399518	601864.4075398159	827.5170021868767	0.5808785080064354	0.3374198410637824	684784.3889083553	805.7029570198615	-0.3578120640346469	649157.2549505488	0.1280294731687342	820.1623199532091	735.8760920789614	1.189388	19.381052	0.0717537668913638	0.0538859493935817	0.01039698	-0.0792155832	-0.0890806947	0.0580317984	-0.0315818941	0.010353266	-0.0663179973	-0.0345259967	-0.023739619	-0.0188405558	-0.0011711096	-0.098352301	-0.0025731652	0.0173543415	0.0157252978	0.0316423793	-0.0678625844	0.0012982048	0.0172922428	0.0707182053	0.1133443251	0.0277931294	-0.0143943765	0.0950324561	0.0170419627	0.2106901593	0.0979453635	0.0007853559	0.053928776	0.0367330228	0.1017174388	0.0562878371	-0.1348535981	0.1152540826	-0.0459743151	-0.0740357052	-0.115940227	-0.0138752409	-0.0382496329	-0.0310430885	0.0031657378	-0.1119644421	-0.0117002492	-0.0946079533	0.0310577308	0.0245475108	0.0179628925	-0.0056665673	0.0603097691	0.0572449092	-0.005507939	0.0335322421	-0.0975138389	-0.0217047924	0.0563911664	-0.156360066	0.1256736604	0.0573523177	0.0067321696	0.0120548074	0.0705561571	0.0876479625	0.0615603567	-0.0523340275	0.0348979186	0.0812641626	-0.1456038638	0.0374983878	-0.0850496017	-0.024693563	0.1735036207	-0.0250975501	-0.1063678479	0.0634864221	-0.0312760176	0.0992428423	-0.0115962863	0.045928406	-0.0577827616	-0.0419824509	0.0248238287	-0.1322682311	-0.0281149938	-0.1541277611	0.0211916152	-0.0868551752	0.0137212016	-0.0896777267	0.0260592993	-0.1174225908	0.0538578066	-0.0050733651	-0.1193583339	0.087245753	-0.0233851393	0.037585109	-0.0199922182	0.0749849188	0.0892997494	0.0888712973	0.0881587327	0.0871643333	0.0858912784	-0.0046418663327187	0.0031002129151431	9.611320119220696e-06	2.1546923050827355e-05	0.0077049149595751	-0.0097303380198781	5.936571453428417e-05	9.467947798108527e-05	-0.014039811927752	0.0503716578495883	0.0001971163189666	0.0025373039145159	-0.0011619976833949	-0.0001709955018823	1.3502386162151143e-06	2.9239461664013853e-08	-0.0004139994168326	3.6536700000113637e-10	1.3349304468983038e-19	1.7139551713773285e-07	-2.4048557382635744e-07	-3.5294885685540464e-08	5.783331121859243e-14	1.2457289555553687e-15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
773.1370208592675	-2.6621848246619493	7.087228040660373	597740.8530231435	824.7161721845046	-2.800830002372095	7.844648702187669	680156.7646626614	805.3468391707618	-0.3561178490997463	648583.5313623368	0.1268199224474296	820.0735072613844	699.8992875778167	1.747472	28.475002	0.0880934735353963	0.0424241649801695	-0.008216224	0.0612206163	0.0764069467	0.1064976251	0.0149820506	-0.0107369749	-0.0042305891	0.0083622617	0.0859101707	0.0543609665	0.0961922243	-0.0356990173	0.0173027432	0.0715266104	-0.0028136094	0.0163806463	0.066342964	0.049033445	-0.0032997859	0.0844818012	-0.0521364786	0.0213599126	0.0717847437	-0.0955342115	0.0929627254	0.0271084908	0.1111126753	0.0723511846	-0.0461892185	0.0131783954	0.056076262	-0.044328096	0.0284577237	0.0098118767	-0.0397411336	0.0185720973	-0.011744598	0.0455484669	-0.0086196222	0.0831532978	-0.1113744613	-0.0120959598	0.0078379119	-0.0421023026	0.029727429	0.0473041259	0.0438265577	0.0149582714	-0.0545290792	-0.0661150881	0.0434193043	-0.0895404888	0.0059950778	-0.0406897956	0.0063318863	0.0304849848	0.0663138209	0.0146847722	0.0777967898	0.0513730205	-0.104203486	0.12579023	-0.0737279785	-0.0492665719	0.0355814715	0.10194582	0.0062934959	-0.0023736811	0.0021365816	0.0295537828	0.01703776	-0.0357336503	0.0047528593	-0.0234827674	-0.0395313891	0.0644565973	0.0034670711	-0.0074638362	0.0893040328	0.0370839336	-0.0415674643	0.0972438276	0.0280280412	-0.0010403874	-0.0802894775	-0.0012790654	0.0287665786	0.0336734287	-0.0241039124	-0.0038462919	0.0681961728	0.014014061	0.021618249	0.0856491653	-0.023727297	0.2200853648	0.0576861567	-0.0414382129	0.0892291752	0.0885895631	0.0875269369	0.0860463708	0.0841549343	-0.0010354057514234	0.0036064605812953	1.3006557924436838e-05	1.0720650700806555e-06	0.024207615800833	0.0165027008412579	0.0005860086627607	0.000272339135056	0.0190110390443294	0.0330508509720814	0.000361419605545	0.0010923587499787	-0.0009439976963257	0.0002179999870692	8.911316506682286e-07	4.752399436217138e-08	-4.155096848679207e-05	0.0003724484483458	1.3871784667519993e-07	1.726482982190388e-09	0.0001079803018264	0.0001082207874002	1.1659745582520441e-08	1.171173882552499e-08	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
774.3300805940288	1.1930597347612777	1.4233915307086498	599587.0737127551	825.5213273772112	0.805155192706593	0.6482748843423909	681485.4619546327	808.0839770347662	2.737137864004467	652999.7139403246	7.491923686566935	822.7301330566406	724.2799383244699	1.400193	22.816111	0.1278937455674141	0.0720057378075932	-0.0185472161	-0.0596374665	0.0516462663	-0.0386489566	0.0136061333	0.0023120337	0.0491379761	0.0691104991	-0.0348191674	-0.0936076147	0.0535414198	0.0683913244	0.0445249483	0.1302322607	-0.0066824217	0.0208205447	0.0723851063	0.0699757186	0.0083514912	0.050007541	0.1277304586	-0.0150005891	0.0268291863	-0.0895947135	0.0004096873	-0.1725771816	0.1208988848	0.016168692	-0.0861700605	0.0455225151	0.1551422549	0.0521325239	-0.038972925	0.0794827526	0.1000980291	-0.0559453828	-0.0570515595	0.0016148285	-0.0339132305	-0.099048794	0.0891116666	-0.0071502763	0.1370622108	0.0396407273	-0.0147221133	0.1245770902	-0.0341942677	-0.0327583272	-0.0464275879	-0.0123619009	-0.0276252911	-0.1139948173	-0.0787677758	0.046082489	-0.0271041592	0.1494758924	-0.0483437612	0.0468706967	0.0900686344	-0.0465758508	-0.1315508159	0.0035479747	0.0854565766	-0.134952761	0.1390557802	0.0610518412	-0.0837930434	-0.047593245	-0.0521916629	-0.1217170744	0.0696040554	0.0684614059	-0.0842666379	-0.1002630604	-0.0411816753	0.0492461211	-0.0229303254	-0.0321268008	0.1477280992	0.0187637943	-0.0389135829	0.0720431221	0.0275994792	0.133676174	0.043866914	0.1440984251	-0.0321528431	0.1393537574	0.0086814428	-6.443e-05	0.0234816058	0.0335496346	-0.0201701707	0.0520672391	-0.0912540125	0.2953463665	0.0237435208	0.0777458213	0.0891445106	0.0882518737	0.0867707607	0.0847110477	0.0820864692	-0.0105736316197493	-0.0095382258683259	9.097775271520136e-05	0.0001118016856301	-0.0021130453152125	-0.0263206611160455	4.464960504141493e-06	0.0006927772015857	0.0669903716957875	0.0479793326514581	0.0044877098999397	0.0023020163616792	-0.0016400078780502	-0.0006960101817245	2.68962584006672e-06	4.844301730641715e-07	0.0001434114386889	0.0001849624071756	3.4211092068226516e-08	2.0566840746820132e-08	0.0001081182315579	1.3792973150000137e-07	1.1689551995207685e-08	1.9024610831662476e-14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
774.9420707334783	0.6119901394495173	0.3745319307834396	600535.2129926913	825.2844943864972	-0.2368329907139923	0.0560898654905339	681094.4966747763	807.4795292000729	-0.6044478346933602	652023.1900771713	0.3653571848654917	821.5934366239171	718.246550503899	0.963641	15.702506	0.0727423329204162	0.0467148002285187	0.043771868	-0.0491875644	-0.0281059909	0.0091346685	0.0400489667	0.0169357842	-0.0745623639	0.0767594125	0.02600419	-0.0574091591	-0.0319819803	0.0242848368	0.02050858	0.0956073553	-0.0138621322	0.0501186495	0.0821972319	0.0354684843	-0.0045364696	0.0424811244	0.0465502756	0.0052833187	0.0152988777	-0.0087604453	0.0583180471	-0.1656086552	0.1489980852	-0.0464845231	-0.0134451389	0.0127431516	0.0698396648	-0.0923463936	0.0093678887	0.0593664592	0.0114229568	0.0071779208	-0.0037993825	-0.1796692497	0.0653964331	-0.0061713413	0.0249000453	0.0065991796	0.0704585392	0.0040846409	0.0042573211	0.1182047373	-0.0429547792	-0.0070502597	0.0162861138	-0.020954946	0.030237552	-0.0871635161	-0.0525113367	0.0268085368	-0.0163020369	0.0444764145	-0.089409569	0.0024262902	0.10920514	0.072730875	-0.0754122177	0.034263027	0.0553854653	-0.1134397289	0.0151998406	-0.0755765445	0.0843329068	-0.0730860706	0.047794818	-0.1184730246	0.1013403462	-0.0307811608	-0.0015481942	-0.0845043701	-0.0415688494	0.026628841	-0.0007606108	-0.0146632257	0.1329569719	0.0212629046	0.0185260101	0.0021351054	0.0012469163	0.0700676496	-0.0468683867	0.1154618544	-0.0174520151	0.1143907209	-0.0232201747	0.0041807113	-0.0394622096	0.0331352725	0.0474665693	0.0612315465	-0.0628122467	0.2269330223	0.065197347	0.059567994	0.0890457691	0.0878584426	0.0858912784	0.0831617371	0.0796940463	0.0008042555313352	0.0113778871510845	0.0001294563160228	6.468269596832649e-07	-0.0029613151894238	-0.0008482698742113	8.769387651112116e-06	7.19561779494455e-07	0.070834941563433	0.0038445698676454	0.0050175889462949	1.4780717467207657e-05	-0.0007780343781005	0.0008619734999497	6.053374935062317e-07	7.429983146155356e-07	0.0002453926188363	0.0001019811801473	1.040016110425645e-08	6.021753737933762e-08	0.0002775956720103	0.0001694774404524	7.705935711885005e-08	2.872260282229679e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
775.5503325516785	0.6082618182001625	0.3699824394801674	601478.3183210191	830.6792387184522	5.394744331955053	29.10326640716117	690027.9976378673	807.315032380663	-0.1644968194099192	651757.5615077909	0.0270592035959795	821.6948446676033	720.1270369080936	0.899553	14.658195	0.0452801706929027	0.0229075109968178	0.0131699569	0.0045390099	-0.062140763	0.089753525	-0.0288505523	0.0496217083	-0.0514861061	0.0763417304	0.0686978926	0.0124010294	0.0495692733	0.0147970216	-0.0064761536	0.0967312076	-0.00029869	0.039823295	0.0462454618	-0.017249301	0.0165069766	0.0516164624	-0.0025958095	0.03749284	0.045690274	-0.0286482174	0.080129	-0.1001443589	0.004042246	-0.0484631901	-0.0944347066	0.0885346468	0.0515990918	-0.0193177913	0.0346083815	-0.0795634572	0.0182223414	0.0340891223	-0.0268423012	-0.1249177631	0.0261153313	0.1005224645	0.0617824967	0.0926880337	0.0076269829	0.0078143916	0.05315422	0.083088085	-0.0008730723	-0.0046984291	-0.0239157164	-0.0429415801	0.0578625349	-0.0305349964	-0.0351307678	-0.007333732	-0.0358127828	0.031261027	-0.0393244841	-0.0238931062	0.00727856	0.1033123792	-0.0889522666	-0.0432858251	-0.0424169206	-0.0790371163	0.0731121673	-0.0929650065	0.0881821085	0.0363331178	0.0616379457	-0.0411197078	0.0872922933	-0.0596945963	0.0138454083	-0.0201545202	-0.0342064544	0.0072092622	-0.0013438405	-0.0070193046	0.0990610293	0.0032697013	0.0135733962	0.0534904758	0.051860189	-0.0208186264	-0.1073863561	0.0850255502	-0.0240767127	0.0721471388	-0.0154493922	-0.0070475511	-0.0595891951	-0.0333561197	0.0922133967	0.0165571493	-0.0983805484	0.1612875162	0.0152491568	0.0597696156	0.0889329663	0.0874095183	0.0848897399	0.0814023527	0.0769871073	-4.504148633088789e-05	-0.000849297017666	7.213054242165113e-07	2.028735490895561e-09	0.0042612674109676	0.0072225826003914	1.8158399947774515e-05	5.216569941947659e-05	0.0657530703051207	-0.0050818712583122	0.0043234662545501	2.5825415486060532e-05	-0.000865996071664	-8.796169356350004e-05	7.499491961374798e-07	7.737259534559085e-09	-0.000106532454011	-0.0003519250728473	1.2385125689857746e-07	1.1349163757605831e-08	7.495404209044003e-05	-0.0002026416299198	5.618108425695457e-09	4.1063630176577495e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
774.012120273741	-1.5382122779375322	2.366097011997772	599094.762330652	829.5983057766095	-1.0809329418426614	1.1684160247606306	688233.348947421	807.026965572257	-0.2880668084059152	651292.523160765	0.0829824861051702	822.0854866910144	709.5937089281682	1.164847	18.981157	0.082314812700615	0.0467779321423429	-0.0595850104	0.04163246	0.0967099784	0.0280281396	0.0242962627	0.0011573756	0.1152519441	0.0440695426	-0.0220980502	0.0173294324	0.087792509	0.0066072661	0.0285473324	0.068039311	-0.007027017	0.0513571334	0.0428578782	0.0226353693	-0.0013147464	-0.0253055268	-0.0717112605	0.0107179196	0.0612733963	-0.0118991389	0.0982019757	-0.1598941869	0.0413709678	0.0020407205	-0.0164223199	0.0501669172	-0.0629721727	-0.0143545755	0.0609853561	0.0969044546	-0.0094842611	-0.0181341109	-0.0243198044	-0.0109674109	0.0285563783	0.0050658043	-0.0741109687	-0.0849402282	0.0931052377	0.0064719792	-0.0056411277	0.0368774379	0.04545947	-0.0007533063	-0.0633484333	-0.1151536653	-0.023464273	-0.0416468892	0.0600751	0.0150551667	-0.0655988355	0.018379265	-0.0604123282	-0.0409624227	0.1329949213	0.0526794237	-0.0961631738	-0.0853808631	0.0235079688	-0.0194721822	-0.0166018163	0.00578315	-0.0388539148	-0.0401345924	-0.0201132467	0.0561897029	0.0197053402	-0.0577537098	-0.0062660958	-0.0521990757	-0.0433719674	0.0183192696	0.0162995563	0.0022041061	0.0825231077	0.0277214491	-0.0542115654	0.0951374228	0.0233010934	0.0813949396	-0.0305531992	0.0932695904	-0.0297015886	0.0696741291	-0.0779244282	0.0169290506	0.0003376232	0.001104598	0.1158187792	0.012390089	-0.073146451	0.1501504542	0.0290152288	0.0308951061	0.0888061199	0.0869053842	0.0837675684	0.0794373389	0.0739763355	0.0061172779344644	0.0061623194207952	3.797418064391077e-05	3.742108932748504e-05	0.0354545746787238	0.0311933072677562	0.0012570268656492	0.0009730224183006	0.0656723381916251	-8.073211349560183e-05	0.0043128560035551	6.517674149466735e-09	-0.000262008470706	0.000603987600958	6.864843872169685e-08	3.6480102211100027e-07	0.0001439843675472	0.0002505168215582	6.275867788362303e-08	2.073149809796718e-08	0.0001180186975456	4.306465545515996e-05	1.3928412970359812e-08	1.8545645494716382e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
